product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Teer Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,12:22:00
Bashundhara Flour (Atta),2 kg,2,kg,৳ 126,126,,,26-10-2022,12:22:00
Fresh White Flour (Maida),2 kg,2,kg,৳ 148,148,৳ 140,140,26-10-2022,12:22:00
Teer White Flour (Maida),2 kg,2,kg,৳ 148,148,,,26-10-2022,12:22:00
Shaad Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,12:22:00
Teer Whole Wheat Flour (Atta),2 kg,2,kg,৳ 148,148,,,26-10-2022,12:22:00
Bashundhara White Flour (Maida),2 kg,2,kg,৳ 164,164,,,26-10-2022,12:22:00
White Rice Flour (Chaler Gura),1 kg,1,kg,৳ 79,79,,,26-10-2022,12:22:00
Sunshine Maida,1 kg,1,kg,৳ 75,75,,,26-10-2022,12:22:00
Corn Flour (Loose),500 gm,500,gm,৳ 59,59,৳ 49,49,26-10-2022,12:22:00
Chickpea Flour (Boot Beshon),500 gm,500,gm,৳ 60,60,৳ 55,55,26-10-2022,12:22:00
Sunshine Atta,2 kg,2,kg,৳ 126,126,,,26-10-2022,12:22:00
Sunshine Atta,1 kg,1,kg,৳ 64,64,,,26-10-2022,12:22:00
Shaad White Flour (Maida),2 kg,2,kg,৳ 148,148,,,26-10-2022,12:22:00
Farmer's Gold Atop Rice Flour (Chaler Gura),1 kg,1,kg,৳ 90,90,,,26-10-2022,12:22:00
Fresh Whole Wheat Flour (Atta),2 kg,2,kg,৳ 142,142,৳ 132,132,26-10-2022,12:22:00
Farmer's Gold Chickpea Flour (Boot Beshon),500 gm,500,gm,৳ 90,90,,,26-10-2022,12:22:00
Sunshine Maida,2 kg,2,kg,৳ 148,148,,,26-10-2022,12:22:00
BPM Gram Flour (Booter Beson),500 gm,500,gm,৳ 90,90,,,26-10-2022,12:22:00
Agro Acres Rice Flour (Chaler Gura),1 kg,1,kg,৳ 100,100,,,26-10-2022,12:22:00
Ifad Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,12:22:00
Astha Foods Moringa Leaf Powder,100 gm,100,gm,৳ 150,150,,,26-10-2022,12:22:00
Ekata Gram Flour (Boot Beshon),500 gm,500,gm,৳ 75,75,,,26-10-2022,12:22:00
Ekata Rice Powder,800 gm,800,gm,৳ 70,70,,,26-10-2022,12:22:00
Zamzam Almond (Kath Badam) Powder,100 gm,100,gm,৳ 210,210,,,26-10-2022,12:22:00
BPM Red Rice Flour (Chaler Gura),1 kg,1,kg,৳ 120,120,,,26-10-2022,12:22:00
Julie Instant Bason Mix,500 gm,500,gm,৳ 135,135,৳ 116,116,26-10-2022,12:22:00
Fit Food Chickpea Flour (Boot Beshon),250 gm,250,gm,৳ 140,140,,,26-10-2022,12:22:00
Chickpeas (Mashkalai Beshon),500 gm,500,gm,৳ 125,125,,,26-10-2022,12:22:00
Muskan Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,12:22:00
BPM Chola Boot (Free 250 gm Booter Beshon),2 kg,2,kg,৳ 210,210,,,26-10-2022,12:22:00
Fresh Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,12:22:00
Teer Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,17:45:47
Bashundhara Flour (Atta),2 kg,2,kg,৳ 126,126,,,26-10-2022,17:45:47
Fresh White Flour (Maida),2 kg,2,kg,৳ 148,148,৳ 140,140,26-10-2022,17:45:47
Teer White Flour (Maida),2 kg,2,kg,৳ 148,148,,,26-10-2022,17:45:47
Shaad Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,17:45:47
Teer Whole Wheat Flour (Atta),2 kg,2,kg,৳ 148,148,,,26-10-2022,17:45:47
Bashundhara White Flour (Maida),2 kg,2,kg,৳ 164,164,,,26-10-2022,17:45:47
White Rice Flour (Chaler Gura),1 kg,1,kg,৳ 79,79,,,26-10-2022,17:45:47
Sunshine Maida,1 kg,1,kg,৳ 75,75,,,26-10-2022,17:45:47
Corn Flour (Loose),500 gm,500,gm,৳ 59,59,৳ 49,49,26-10-2022,17:45:47
Chickpea Flour (Boot Beshon),500 gm,500,gm,৳ 60,60,৳ 55,55,26-10-2022,17:45:47
Sunshine Atta,2 kg,2,kg,৳ 126,126,,,26-10-2022,17:45:47
Sunshine Atta,1 kg,1,kg,৳ 64,64,,,26-10-2022,17:45:47
Shaad White Flour (Maida),2 kg,2,kg,৳ 148,148,,,26-10-2022,17:45:47
Farmer's Gold Atop Rice Flour (Chaler Gura),1 kg,1,kg,৳ 90,90,,,26-10-2022,17:45:47
Fresh Whole Wheat Flour (Atta),2 kg,2,kg,৳ 142,142,৳ 132,132,26-10-2022,17:45:47
Farmer's Gold Chickpea Flour (Boot Beshon),500 gm,500,gm,৳ 90,90,,,26-10-2022,17:45:47
Sunshine Maida,2 kg,2,kg,৳ 148,148,,,26-10-2022,17:45:47
BPM Gram Flour (Booter Beson),500 gm,500,gm,৳ 90,90,,,26-10-2022,17:45:47
Agro Acres Rice Flour (Chaler Gura),1 kg,1,kg,৳ 100,100,,,26-10-2022,17:45:47
Ifad Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,17:45:47
Astha Foods Moringa Leaf Powder,100 gm,100,gm,৳ 150,150,,,26-10-2022,17:45:47
Ekata Gram Flour (Boot Beshon),500 gm,500,gm,৳ 75,75,,,26-10-2022,17:45:47
Ekata Rice Powder,800 gm,800,gm,৳ 70,70,,,26-10-2022,17:45:47
Zamzam Almond (Kath Badam) Powder,100 gm,100,gm,৳ 210,210,,,26-10-2022,17:45:47
BPM Red Rice Flour (Chaler Gura),1 kg,1,kg,৳ 120,120,,,26-10-2022,17:45:47
Julie Instant Bason Mix,500 gm,500,gm,৳ 135,135,৳ 116,116,26-10-2022,17:45:47
Fit Food Chickpea Flour (Boot Beshon),250 gm,250,gm,৳ 140,140,,,26-10-2022,17:45:47
Chickpeas (Mashkalai Beshon),500 gm,500,gm,৳ 125,125,,,26-10-2022,17:45:47
Muskan Flour (Atta),2 kg,2,kg,৳ 122,122,,,26-10-2022,17:45:47
