product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,26-10-2022,12:22:10
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,26-10-2022,12:22:10
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 429,429,26-10-2022,12:22:10
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,26-10-2022,12:22:10
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,26-10-2022,12:22:10
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,26-10-2022,12:22:10
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,26-10-2022,12:22:10
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,26-10-2022,12:22:10
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,26-10-2022,12:22:10
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,26-10-2022,17:45:55
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,26-10-2022,17:45:55
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 429,429,26-10-2022,17:45:55
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,26-10-2022,17:45:55
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,26-10-2022,17:45:55
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,26-10-2022,17:45:55
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,26-10-2022,17:45:55
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,26-10-2022,17:45:55
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,26-10-2022,17:45:55
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,26-10-2022,20:59:33
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,26-10-2022,20:59:33
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 429,429,26-10-2022,20:59:33
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,26-10-2022,20:59:33
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,26-10-2022,20:59:33
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,26-10-2022,20:59:33
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,26-10-2022,20:59:33
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,26-10-2022,20:59:33
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,26-10-2022,20:59:33
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,27-10-2022,14:55:28
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,27-10-2022,14:55:28
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 419,419,27-10-2022,14:55:28
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,27-10-2022,14:55:28
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,27-10-2022,14:55:28
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,27-10-2022,14:55:28
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,27-10-2022,14:55:28
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,27-10-2022,14:55:28
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,27-10-2022,14:55:28
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,27-10-2022,17:02:20
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,27-10-2022,17:02:20
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 425,425,27-10-2022,17:02:20
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,27-10-2022,17:02:20
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,27-10-2022,17:02:20
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,27-10-2022,17:02:20
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,27-10-2022,17:02:20
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,27-10-2022,17:02:20
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,27-10-2022,17:02:20
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,28-10-2022,02:58:42
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,28-10-2022,02:58:42
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 425,425,28-10-2022,02:58:42
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,28-10-2022,02:58:42
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,28-10-2022,02:58:42
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,28-10-2022,02:58:42
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,28-10-2022,02:58:42
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,28-10-2022,02:58:42
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,28-10-2022,02:58:42
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,28-10-2022,11:38:45
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,28-10-2022,11:38:45
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 425,425,28-10-2022,11:38:45
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,28-10-2022,11:38:45
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,28-10-2022,11:38:45
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,28-10-2022,11:38:45
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,28-10-2022,11:38:45
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,28-10-2022,11:38:45
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,28-10-2022,11:38:45
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,29-10-2022,04:15:11
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,29-10-2022,04:15:11
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 425,425,29-10-2022,04:15:11
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,29-10-2022,04:15:11
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,29-10-2022,04:15:11
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,29-10-2022,04:15:11
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,29-10-2022,04:15:11
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,29-10-2022,04:15:11
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,29-10-2022,04:15:11
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,29-10-2022,16:54:25
Bengal Meat Beef Bone In ± 50 gm,1 kg,1,kg,৳ 795,795,,,29-10-2022,16:54:25
Beef Boneless ± 25 gm,500 gm,500,gm,৳ 459,459,৳ 425,425,29-10-2022,16:54:25
Beef Liver (Kolija),500 gm,500,gm,৳ 399,399,৳ 349,349,29-10-2022,16:54:25
Beef Tripe (Vuri),1 kg,1,kg,৳ 359,359,৳ 349,349,29-10-2022,16:54:25
Beef Brain (Mogoz),each,1,each,৳ 399,399,৳ 319,319,29-10-2022,16:54:25
Beef Ribs (Shinar Mangsho),1 kg,1,kg,৳ 799,799,৳ 699,699,29-10-2022,16:54:25
Mutton Bone in (Khashi) ± 50 gm,1 kg,1,kg,"৳ 1,000",1000,৳ 959,959,29-10-2022,16:54:25
Mutton Paya,10 pcs,10,pcs,৳ 399,399,৳ 359,359,29-10-2022,16:54:25
Beef Bone In ± 50 gm,1 kg,1,kg,৳ 699,699,,,30-10-2022,05:16:48
