product_name,weight_raw,weight_value,weight_unit,price_raw,price,discount_price_raw,discount_price,date,time
SMC Smile Baby Diaper Belt 3-6 kg S,28 pcs,28,pcs,৳ 620,620,৳ 471,471,26-10-2022,17:45:59
Kidstar Ultra Thin Baby Diaper Belt S (3-8 kg),56 pcs,56,pcs,"৳ 1,700",1700,"৳ 1,185",1185,26-10-2022,17:45:59
Love Baby Super Diaper New Born Belt S 2-5 kg,28 pcs,28,pcs,৳ 560,560,৳ 395,395,26-10-2022,17:45:59
Kidstar Baby Diaper Belt S (3-8 kg),66 pcs,66,pcs,"৳ 1,400",1400,৳ 945,945,26-10-2022,17:45:59
Kidz Baby Diaper Belt S (3-6 kg),23 pcs,23,pcs,৳ 700,700,৳ 595,595,26-10-2022,17:45:59
Huggies Dry Pants Baby Diaper Pant S (4-8 kg),66 pcs,66,pcs,"৳ 1,980",1980,"৳ 1,555",1555,26-10-2022,17:45:59
Molfix Baby Diaper Belt 2 Mini 3-6 kg,80 pcs,80,pcs,"৳ 2,050",2050,"৳ 1,675",1675,26-10-2022,17:45:59
Love Baby Super Diaper 2 Mini Belt S 3-6 kg,31 pcs,31,pcs,৳ 700,700,৳ 475,475,26-10-2022,17:45:59
Supermom Baby Diaper Belt S New Born - 8 kg,5 pcs,5,pcs,৳ 140,140,৳ 99,99,26-10-2022,17:45:59
Molfix Baby Diaper Belt 1 New Born 2-5 kg,44 pcs,44,pcs,"৳ 1,250",1250,"৳ 1,025",1025,26-10-2022,17:45:59
NeoCare Premium Baby Diaper Belt S (3-6 kg),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,26-10-2022,20:59:39
NeoCare Premium Baby Diaper Belt M 4-9 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,450",1450,"৳ 1,099",1099,26-10-2022,20:59:39
NeoCare Premium Baby Diaper Belt S 3-6 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,26-10-2022,20:59:39
NeoCare Premium Baby Diaper Belt M (4-9 kg),32 pcs,32,pcs,৳ 992,992,৳ 745,745,26-10-2022,20:59:39
Comfort Baby Diaper Pant S (3-8 kg),42 pcs,42,pcs,৳ 880,880,৳ 579,579,26-10-2022,20:59:39
Avonee Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,26-10-2022,20:59:39
Love Baby Super Diaper 2 Mini Belt S (3-6 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,26-10-2022,20:59:39
Love Baby Super Diaper 3 Midi Belt M (4-9 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,26-10-2022,20:59:39
Comfort Baby Diaper Pant S (3-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 89,89,26-10-2022,20:59:39
SMC Smile Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,26-10-2022,20:59:39
SMC Smile Baby Diaper Belt S (3-6 kg),5 pcs,5,pcs,৳ 115,115,৳ 75,75,26-10-2022,20:59:39
SMC Smile Baby Diaper Pants S (4-8 kg),42 pcs,42,pcs,৳ 890,890,৳ 761,761,26-10-2022,20:59:39
Molfix Pure & Soft Premium Diaper 2-5 kg,66 pcs,66,pcs,"৳ 2,070",2070,"৳ 1,689",1689,26-10-2022,20:59:39
Dalaa Baby Comfort Diaper Mini Belt (3-6 kg),40 pcs,40,pcs,৳ 995,995,৳ 719,719,26-10-2022,20:59:39
Love Baby Super Diaper 2 Mini Belt S 3-6 kg (Free Handwash 170 ml),31 pcs,31,pcs,৳ 700,700,৳ 475,475,26-10-2022,20:59:39
SMC Smile Baby Diaper Belt 3-6 kg S (Free 5 pcs),28 pcs,28,pcs,৳ 620,620,৳ 505,505,26-10-2022,20:59:39
NeoCare New Born Diaper 0-4 kg,20 pcs,20,pcs,৳ 640,640,৳ 635,635,26-10-2022,20:59:39
SMC Smile Baby Diaper Belt 3-6 kg S,28 pcs,28,pcs,৳ 620,620,৳ 471,471,26-10-2022,20:59:39
Kidstar Ultra Thin Baby Diaper Belt S (3-8 kg),56 pcs,56,pcs,"৳ 1,700",1700,"৳ 1,185",1185,26-10-2022,20:59:39
Love Baby Super Diaper New Born Belt S 2-5 kg,28 pcs,28,pcs,৳ 560,560,৳ 395,395,26-10-2022,20:59:39
Kidstar Baby Diaper Belt S (3-8 kg),66 pcs,66,pcs,"৳ 1,400",1400,৳ 945,945,26-10-2022,20:59:39
Kidz Baby Diaper Belt S (3-6 kg),23 pcs,23,pcs,৳ 700,700,৳ 595,595,26-10-2022,20:59:39
Huggies Dry Pants Baby Diaper Pant S (4-8 kg),66 pcs,66,pcs,"৳ 1,980",1980,"৳ 1,555",1555,26-10-2022,20:59:39
Molfix Baby Diaper Belt 2 Mini 3-6 kg,80 pcs,80,pcs,"৳ 2,050",2050,"৳ 1,675",1675,26-10-2022,20:59:39
Love Baby Super Diaper 2 Mini Belt S 3-6 kg,31 pcs,31,pcs,৳ 700,700,৳ 475,475,26-10-2022,20:59:39
Supermom Baby Diaper Belt S New Born - 8 kg,5 pcs,5,pcs,৳ 140,140,৳ 99,99,26-10-2022,20:59:39
Molfix Baby Diaper Belt 1 New Born 2-5 kg,44 pcs,44,pcs,"৳ 1,250",1250,"৳ 1,025",1025,26-10-2022,20:59:39
NeoCare Premium Baby Diaper Belt M 4-9 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,450",1450,"৳ 1,099",1099,27-10-2022,14:55:34
NeoCare Premium Baby Diaper Belt S (3-6 kg),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,27-10-2022,14:55:34
NeoCare Premium Baby Diaper Belt S 3-6 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,27-10-2022,14:55:34
NeoCare Premium Baby Diaper Belt M (4-9 kg),32 pcs,32,pcs,৳ 992,992,৳ 745,745,27-10-2022,14:55:34
Comfort Baby Diaper Pant S (3-8 kg),42 pcs,42,pcs,৳ 880,880,৳ 579,579,27-10-2022,14:55:34
Avonee Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,27-10-2022,14:55:34
Love Baby Super Diaper 2 Mini Belt S (3-6 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,27-10-2022,14:55:34
Love Baby Super Diaper 3 Midi Belt M (4-9 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,27-10-2022,14:55:34
Comfort Baby Diaper Pant S (3-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 89,89,27-10-2022,14:55:34
SMC Smile Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,27-10-2022,14:55:34
SMC Smile Baby Diaper Belt S (3-6 kg),5 pcs,5,pcs,৳ 115,115,৳ 75,75,27-10-2022,14:55:34
SMC Smile Baby Diaper Pants S (4-8 kg),42 pcs,42,pcs,৳ 890,890,৳ 761,761,27-10-2022,14:55:34
Molfix Pure & Soft Premium Diaper 2-5 kg,66 pcs,66,pcs,"৳ 2,070",2070,"৳ 1,689",1689,27-10-2022,14:55:34
Dalaa Baby Comfort Diaper Mini Belt (3-6 kg),40 pcs,40,pcs,৳ 995,995,৳ 719,719,27-10-2022,14:55:34
Love Baby Super Diaper 2 Mini Belt S 3-6 kg (Free Handwash 170 ml),31 pcs,31,pcs,৳ 700,700,৳ 475,475,27-10-2022,14:55:34
SMC Smile Baby Diaper Belt 3-6 kg S (Free 5 pcs),28 pcs,28,pcs,৳ 620,620,৳ 505,505,27-10-2022,14:55:34
NeoCare New Born Diaper 0-4 kg,20 pcs,20,pcs,৳ 640,640,৳ 635,635,27-10-2022,14:55:34
SMC Smile Baby Diaper Belt 3-6 kg S,28 pcs,28,pcs,৳ 620,620,৳ 471,471,27-10-2022,14:55:34
Kidstar Ultra Thin Baby Diaper Belt S (3-8 kg),56 pcs,56,pcs,"৳ 1,700",1700,"৳ 1,185",1185,27-10-2022,14:55:34
Love Baby Super Diaper New Born Belt S 2-5 kg,28 pcs,28,pcs,৳ 560,560,৳ 395,395,27-10-2022,14:55:34
Kidstar Baby Diaper Belt S (3-8 kg),66 pcs,66,pcs,"৳ 1,400",1400,৳ 945,945,27-10-2022,14:55:34
Kidz Baby Diaper Belt S (3-6 kg),23 pcs,23,pcs,৳ 700,700,৳ 595,595,27-10-2022,14:55:34
Huggies Dry Pants Baby Diaper Pant S (4-8 kg),66 pcs,66,pcs,"৳ 1,980",1980,"৳ 1,555",1555,27-10-2022,14:55:34
Molfix Baby Diaper Belt 2 Mini 3-6 kg,80 pcs,80,pcs,"৳ 2,050",2050,"৳ 1,675",1675,27-10-2022,14:55:34
Love Baby Super Diaper 2 Mini Belt S 3-6 kg,31 pcs,31,pcs,৳ 700,700,৳ 475,475,27-10-2022,14:55:34
Supermom Baby Diaper Belt S New Born - 8 kg,5 pcs,5,pcs,৳ 140,140,৳ 99,99,27-10-2022,14:55:34
Molfix Baby Diaper Belt 1 New Born 2-5 kg,44 pcs,44,pcs,"৳ 1,250",1250,"৳ 1,025",1025,27-10-2022,14:55:34
NeoCare Premium Baby Diaper Belt M 4-9 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,450",1450,"৳ 1,099",1099,27-10-2022,17:02:34
NeoCare Premium Baby Diaper Belt S (3-6 kg),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,27-10-2022,17:02:34
NeoCare Premium Baby Diaper Belt S 3-6 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,27-10-2022,17:02:34
NeoCare Premium Baby Diaper Belt M (4-9 kg),32 pcs,32,pcs,৳ 992,992,৳ 745,745,27-10-2022,17:02:34
Comfort Baby Diaper Pant S (3-8 kg),42 pcs,42,pcs,৳ 880,880,৳ 579,579,27-10-2022,17:02:34
Avonee Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,27-10-2022,17:02:34
Love Baby Super Diaper 2 Mini Belt S (3-6 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,27-10-2022,17:02:34
Love Baby Super Diaper 3 Midi Belt M (4-9 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,27-10-2022,17:02:34
Comfort Baby Diaper Pant S (3-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 89,89,27-10-2022,17:02:34
SMC Smile Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,27-10-2022,17:02:34
SMC Smile Baby Diaper Belt S (3-6 kg),5 pcs,5,pcs,৳ 115,115,৳ 75,75,27-10-2022,17:02:34
SMC Smile Baby Diaper Pants S (4-8 kg),42 pcs,42,pcs,৳ 890,890,৳ 761,761,27-10-2022,17:02:34
Molfix Pure & Soft Premium Diaper 2-5 kg,66 pcs,66,pcs,"৳ 2,070",2070,"৳ 1,689",1689,27-10-2022,17:02:34
Dalaa Baby Comfort Diaper Mini Belt (3-6 kg),40 pcs,40,pcs,৳ 995,995,৳ 719,719,27-10-2022,17:02:34
Love Baby Super Diaper 2 Mini Belt S 3-6 kg (Free Handwash 170 ml),31 pcs,31,pcs,৳ 700,700,৳ 475,475,27-10-2022,17:02:34
SMC Smile Baby Diaper Belt 3-6 kg S (Free 5 pcs),28 pcs,28,pcs,৳ 620,620,৳ 505,505,27-10-2022,17:02:34
NeoCare New Born Diaper 0-4 kg,20 pcs,20,pcs,৳ 640,640,৳ 635,635,27-10-2022,17:02:34
SMC Smile Baby Diaper Belt 3-6 kg S,28 pcs,28,pcs,৳ 620,620,৳ 471,471,27-10-2022,17:02:34
Kidstar Ultra Thin Baby Diaper Belt S (3-8 kg),56 pcs,56,pcs,"৳ 1,700",1700,"৳ 1,185",1185,27-10-2022,17:02:34
Kidstar Baby Diaper Belt S (3-8 kg),66 pcs,66,pcs,"৳ 1,400",1400,৳ 945,945,27-10-2022,17:02:34
Kidz Baby Diaper Belt S (3-6 kg),23 pcs,23,pcs,৳ 700,700,৳ 595,595,27-10-2022,17:02:34
Huggies Dry Pants Baby Diaper Pant S (4-8 kg),66 pcs,66,pcs,"৳ 1,980",1980,"৳ 1,555",1555,27-10-2022,17:02:34
Molfix Baby Diaper Belt 2 Mini 3-6 kg,80 pcs,80,pcs,"৳ 2,050",2050,"৳ 1,675",1675,27-10-2022,17:02:34
Love Baby Super Diaper 2 Mini Belt S 3-6 kg,31 pcs,31,pcs,৳ 700,700,৳ 475,475,27-10-2022,17:02:34
Supermom Baby Diaper Belt S New Born - 8 kg,5 pcs,5,pcs,৳ 140,140,৳ 99,99,27-10-2022,17:02:34
Molfix Baby Diaper Belt 1 New Born 2-5 kg,44 pcs,44,pcs,"৳ 1,250",1250,"৳ 1,025",1025,27-10-2022,17:02:34
NeoCare Premium Baby Diaper Belt M 4-9 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,450",1450,"৳ 1,099",1099,28-10-2022,02:59:00
NeoCare Premium Baby Diaper Belt S (3-6 kg),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,28-10-2022,02:59:00
NeoCare Premium Baby Diaper Belt S 3-6 kg (Free Diaper 4 pcs),50 pcs,50,pcs,"৳ 1,200",1200,৳ 899,899,28-10-2022,02:59:00
NeoCare Premium Baby Diaper Belt M (4-9 kg),32 pcs,32,pcs,৳ 992,992,৳ 745,745,28-10-2022,02:59:00
Comfort Baby Diaper Pant S (3-8 kg),42 pcs,42,pcs,৳ 880,880,৳ 579,579,28-10-2022,02:59:00
Avonee Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,28-10-2022,02:59:00
Love Baby Super Diaper 2 Mini Belt S (3-6 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,28-10-2022,02:59:00
Love Baby Super Diaper 3 Midi Belt M (4-9 kg),5 pcs,5,pcs,৳ 125,125,৳ 85,85,28-10-2022,02:59:00
Comfort Baby Diaper Pant S (3-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 89,89,28-10-2022,02:59:00
SMC Smile Baby Diaper Pants S (4-8 kg),5 pcs,5,pcs,৳ 140,140,৳ 95,95,28-10-2022,02:59:00
SMC Smile Baby Diaper Belt S (3-6 kg),5 pcs,5,pcs,৳ 115,115,৳ 75,75,28-10-2022,02:59:00
SMC Smile Baby Diaper Pants S (4-8 kg),42 pcs,42,pcs,৳ 890,890,৳ 761,761,28-10-2022,02:59:00
Molfix Pure & Soft Premium Diaper 2-5 kg,66 pcs,66,pcs,"৳ 2,070",2070,"৳ 1,689",1689,28-10-2022,02:59:00
Dalaa Baby Comfort Diaper Mini Belt (3-6 kg),40 pcs,40,pcs,৳ 995,995,৳ 719,719,28-10-2022,02:59:00
Love Baby Super Diaper 2 Mini Belt S 3-6 kg (Free Handwash 170 ml),31 pcs,31,pcs,৳ 700,700,৳ 475,475,28-10-2022,02:59:00
SMC Smile Baby Diaper Belt 3-6 kg S (Free 5 pcs),28 pcs,28,pcs,৳ 620,620,৳ 505,505,28-10-2022,02:59:00
NeoCare New Born Diaper 0-4 kg,20 pcs,20,pcs,৳ 640,640,৳ 635,635,28-10-2022,02:59:00
SMC Smile Baby Diaper Belt 3-6 kg S,28 pcs,28,pcs,৳ 620,620,৳ 471,471,28-10-2022,02:59:00
Kidstar Ultra Thin Baby Diaper Belt S (3-8 kg),56 pcs,56,pcs,"৳ 1,700",1700,"৳ 1,185",1185,28-10-2022,02:59:00
Kidstar Baby Diaper Belt S (3-8 kg),66 pcs,66,pcs,"৳ 1,400",1400,৳ 945,945,28-10-2022,02:59:00
Kidz Baby Diaper Belt S (3-6 kg),23 pcs,23,pcs,৳ 700,700,৳ 595,595,28-10-2022,02:59:00
Huggies Dry Pants Baby Diaper Pant S (4-8 kg),66 pcs,66,pcs,"৳ 1,980",1980,"৳ 1,555",1555,28-10-2022,02:59:00
Molfix Baby Diaper Belt 2 Mini 3-6 kg,80 pcs,80,pcs,"৳ 2,050",2050,"৳ 1,675",1675,28-10-2022,02:59:00
Love Baby Super Diaper 2 Mini Belt S 3-6 kg,31 pcs,31,pcs,৳ 700,700,৳ 475,475,28-10-2022,02:59:00
Supermom Baby Diaper Belt S New Born - 8 kg,5 pcs,5,pcs,৳ 140,140,৳ 99,99,28-10-2022,02:59:00
Molfix Baby Diaper Belt 1 New Born 2-5 kg,44 pcs,44,pcs,"৳ 1,250",1250,"৳ 1,025",1025,28-10-2022,02:59:00
